t,i,q
-1.7008,-0.9135587,2.0088017
-1.7004,-0.9134494,2.0085492
-1.7,-0.9135757,2.0083306
-1.6996,-0.9135926,2.0086924
-1.6992,-0.9143933,2.0077902
-1.6988,-0.9458622,1.9509252
-1.6984,-0.9654789,1.9116684
-1.698,-0.9683652,1.9162294
-1.6976,-0.9688521,1.9169085
-1.6972,-0.968675,1.9167389
-1.6968,-0.9686844,1.9168576
-1.6964,-0.9688521,1.9166635
-1.696,-0.9688521,1.9167728
-1.6956,-0.9683596,1.9173256
-1.6952,-0.9686165,1.917509
-1.6948,-0.9680845,1.9174148
-1.6944,-0.9684582,1.9177615
-1.694,-0.9703238,1.9160519
-1.6936,-1.0279724,1.8500215
-1.6932,-1.0421454,1.836475
-1.6928,-1.0435267,1.8388023
-1.6924,-1.0444212,1.8393049
-1.692,-1.0438333,1.8395838
-1.6916,-1.0439934,1.8398137
-1.6912,-1.0439934,1.8396158
-1.6908,-1.0438596,1.8395178
-1.6904,-1.0440255,1.8395178
-1.69,-1.0439934,1.8393922
-1.6896,-1.0436995,1.8392037
-1.6892,-1.044229,1.8395178
-1.6888,-1.0631346,1.8270494
-1.6884,-1.1321541,1.7772969
-1.688,-1.137511,1.7782521
-1.6876,-1.1387403,1.7793859
-1.6872,-1.1386498,1.779759
-1.6868,-1.1386121,1.7801585
-1.6864,-1.1384501,1.7807081
-1.686,-1.1384501,1.7802904
-1.6856,-1.1384501,1.7803796
-1.6852,-1.138646,1.7803545
-1.6848,-1.1383634,1.7807948
-1.6844,-1.1382145,1.7809437
-1.684,-1.1384501,1.7807081
-1.6836,-1.206115,1.7541939
-1.6832,-1.2424833,1.7361496
-1.6828,-1.2457428,1.7392998
-1.6824,-1.2461693,1.7405467
-1.682,-1.2459783,1.7404789
-1.6816,-1.2462547,1.7405806
-1.6812,-1.2459406,1.7405071
-1.6808,-1.2461693,1.7403357
-1.6804,-1.2461718,1.7402716
-1.68,-1.2461919,1.74046
-1.6796,-1.2463339,1.740063
-1.6792,-1.2469011,1.7402716
-1.6788,-1.2563771,1.7385594
-1.6784,-1.3500763,1.7203274
-1.678,-1.3609656,1.7190403
-1.6776,-1.3640311,1.7218859
-1.6772,-1.3642045,1.7215467
-1.6768,-1.3643659,1.7214481
-1.6764,-1.3644337,1.7215159
-1.676,-1.3642572,1.7214274
-1.6756,-1.3641781,1.7215913
-1.6752,-1.3643452,1.7217176
-1.6748,-1.364104,1.7217176
-1.6744,-1.3641266,1.7218269
-1.674,-1.3643452,1.7216629
-1.6736,-1.3991489,1.722666
-1.6732,-1.4796534,1.7205029
-1.6728,-1.4878011,1.7243293
-1.6724,-1.4894199,1.7256598
-1.672,-1.4894237,1.7259029
-1.6716,-1.4891749,1.7256673
-1.6712,-1.489092,1.7258067
-1.6708,-1.4891881,1.7261384
-1.6704,-1.4890317,1.7263469
-1.67,-1.4891881,1.72595
-1.6696,-1.4891881,1.7259651
-1.6692,-1.4893596,1.7261164
-1.6688,-1.4891881,1.7264977
-1.6684,-1.5539858,1.7390506
-1.668,-1.6103313,1.7493011
-1.6676,-1.6153784,1.752749
-1.6672,-1.6160612,1.7535184
-1.6668,-1.615837,1.7537766
-1.6664,-1.6158238,1.7533055
-1.666,-1.6154632,1.7533055
-1.6656,-1.6158144,1.7533055
-1.6652,-1.6156014,1.7530078
-1.6648,-1.6153401,1.7530699
-1.6644,-1.6153804,1.7530699
-1.664,-1.6152874,1.753183
-1.6636,-1.6170543,1.7539675
-1.6632,-1.7168885,1.7927086
-1.6628,-1.7357206,1.7999524
-1.6624,-1.7393332,1.80221
-1.662,-1.7394048,1.802715
-1.6616,-1.7396592,1.8031987
-1.6612,-1.7396592,1.8027716
-1.6608,-1.7392993,1.8027955
-1.6604,-1.7396592,1.8030656
-1.66,-1.7396592,1.8026303
