t, i, q
-1.825100E+00,-36.683E-03,-6.030E-03
-1.822600E+00,-38.191E-03,-3.015E-03
-1.820100E+00,-36.683E-03,-7.538E-03
-1.817600E+00,-40.201E-03,-10.050E-03
-1.815100E+00,-38.191E-03,-9.548E-03
-1.812600E+00,-39.196E-03,-9.045E-03
-1.810100E+00,-41.709E-03,-13.568E-03
-1.807600E+00,-38.191E-03,-12.060E-03
-1.805100E+00,-39.698E-03,-20.101E-03
-1.802600E+00,-39.196E-03,-20.101E-03
-1.800100E+00,-41.709E-03,-16.583E-03
-1.797600E+00,-38.191E-03,-26.131E-03
-1.795100E+00,-42.211E-03,-22.613E-03
-1.792600E+00,-39.196E-03,-22.111E-03
-1.790100E+00,-41.709E-03,-30.151E-03
-1.787600E+00,-42.211E-03,-28.141E-03
-1.785100E+00,-39.698E-03,-28.141E-03
-1.782600E+00,-38.191E-03,-33.166E-03
-1.780100E+00,-41.709E-03,-30.653E-03
-1.777600E+00,-38.191E-03,-36.181E-03
-1.775100E+00,-38.191E-03,-39.698E-03
-1.772600E+00,-38.191E-03,-39.196E-03
-1.770100E+00,-38.191E-03,-43.216E-03
-1.767600E+00,-38.191E-03,-42.211E-03
-1.765100E+00,-38.191E-03,-42.211E-03
-1.762600E+00,-36.181E-03,-46.231E-03
-1.760100E+00,-33.668E-03,-44.724E-03
-1.757600E+00,-36.181E-03,-48.241E-03
-1.755100E+00,-34.171E-03,-50.251E-03
-1.752600E+00,-36.181E-03,-52.261E-03
-1.750100E+00,-36.181E-03,-53.769E-03
-1.747600E+00,-34.171E-03,-54.271E-03
-1.745100E+00,-33.668E-03,-54.271E-03
-1.742600E+00,-33.166E-03,-58.291E-03
-1.740100E+00,-30.151E-03,-59.799E-03
-1.737600E+00,-30.151E-03,-56.281E-03
-1.735100E+00,-28.643E-03,-62.312E-03
-1.732600E+00,-30.151E-03,-64.322E-03
-1.730100E+00,-29.648E-03,-62.312E-03
-1.727600E+00,-28.141E-03,-68.342E-03
-1.725100E+00,-24.623E-03,-66.332E-03
-1.722600E+00,-27.136E-03,-67.337E-03
-1.720100E+00,-22.111E-03,-67.337E-03
-1.717600E+00,-24.121E-03,-68.342E-03
-1.715100E+00,-23.618E-03,-69.849E-03
-1.712600E+00,-22.111E-03,-72.362E-03
-1.710100E+00,-21.608E-03,-75.879E-03
-1.707600E+00,-18.090E-03,-72.362E-03
-1.705100E+00,-19.095E-03,-75.879E-03
-1.702600E+00,-17.085E-03,-73.367E-03
-1.700100E+00,-15.075E-03,-76.884E-03
-1.697600E+00,-16.080E-03,-76.382E-03
-1.695100E+00,-12.563E-03,-77.889E-03
