#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase 
324,1084.5,0.2000,-0.02,-1.85
325,1100.4,0.2000,-0.03,-1.89
326,1116.4,0.2000,-0.03,-1.89
327,1132.8,0.2000,-0.03,-1.94
328,1149.3,0.2000,-0.02,-2.01
329,1166.1,0.2000,-0.03,-2.01
330,1183.1,0.2000,-0.03,-2.07
331,1200.4,0.2000,-0.03,-2.07
332,1218.0,0.2000,-0.03,-2.11
333,1235.8,0.2000,-0.03,-2.12
334,1253.8,0.2000,-0.02,-2.16
335,1272.2,0.2000,-0.01,-2.18
336,1290.8,0.2000,-0.01,-2.23
337,1309.6,0.2000,-0.03,-2.23
338,1328.8,0.2000,-0.01,-2.28
339,1348.2,0.2000,-0.01,-2.34
340,1367.9,0.2000,-0.01,-2.34
341,1387.9,0.2000,-0.02,-2.41
342,1408.2,0.2000,-0.01,-2.41
343,1428.7,0.2000,-0.01,-2.46
344,1449.6,0.2000,-0.03,-2.47
345,1470.8,0.2000,-0.01,-2.52
346,1492.3,0.2000,-0.02,-2.53
347,1514.1,0.2000,-0.01,-2.58
348,1536.2,0.2000,-0.01,-2.64
349,1558.7,0.2000,-0.03,-2.69
350,1581.5,0.2000,-0.03,-2.74
351,1604.6,0.2000,-0.03,-2.75
352,1628.0,0.2000,-0.01,-2.75
353,1651.8,0.2000,-0.01,-2.81
354,1676.0,0.2000,-0.01,-2.91
355,1700.5,0.2000,-0.01,-2.92
356,1725.3,0.2000,-0.01,-2.99
357,1750.5,0.2000,-0.01,-2.99
358,1776.1,0.2000,-0.01,-3.04
359,1802.1,0.2000,-0.03,-3.10
360,1828.4,0.2000,-0.01,-3.15
361,1855.1,0.2000,-0.01,-3.19
362,1882.2,0.2000,-0.03,-3.26
363,1909.7,0.2000,-0.01,-3.26
364,1937.6,0.2000,-0.03,-3.33
365,1966.0,0.2000,-0.01,-3.38
366,1994.7,0.2000,-0.03,-3.42
367,2023.8,0.2000,-0.03,-3.48
368,2053.4,0.2000,-0.02,-3.51
369,2083.4,0.2000,-0.01,-3.60
370,2113.9,0.2000,-0.03,-3.62
371,2144.8,0.2000,-0.01,-3.71
372,2176.1,0.2000,-0.03,-3.72
373,2207.9,0.2000,-0.01,-3.80
374,2240.2,0.2000,-0.01,-3.84
375,2272.9,0.2000,-0.01,-3.94
376,2306.1,0.2000,-0.02,-3.95
377,2339.8,0.2000,-0.01,-4.01
378,2374.0,0.2000,-0.01,-4.07
379,2408.7,0.2000,-0.01,-4.12
380,2443.9,0.2000,-0.01,-4.18
381,2479.7,0.2000,-0.03,-4.23
382,2515.9,0.2000,-0.01,-4.30
383,2552.7,0.2000,-0.01,-4.35
384,2590.0,0.2000,-0.03,-4.47
385,2627.8,0.2000,-0.03,-4.53
386,2666.2,0.2000,-0.03,-4.57
387,2705.2,0.2000,-0.02,-4.64
388,2744.7,0.2000,-0.03,-4.69
389,2784.8,0.2000,-0.01,-4.77
390,2825.5,0.2000,-0.02,-4.85
391,2866.8,0.2000,-0.03,-4.92
392,2908.7,0.2000,-0.03,-4.98
393,2951.2,0.2000,-0.03,-5.10
394,2994.4,0.2000,-0.02,-5.16
395,3038.1,0.2000,-0.02,-5.22
396,3082.5,0.2000,-0.02,-5.27
397,3127.6,0.2000,-0.01,-5.39
398,3173.3,0.2000,-0.03,-5.44
399,3219.7,0.2000,-0.03,-5.49
400,3266.7,0.2000,-0.03,-5.61
401,3314.5,0.2000,-0.03,-5.73
402,3362.9,0.2000,-0.03,-5.76
403,3412.0,0.2000,-0.03,-5.84
404,3461.9,0.2000,-0.03,-5.94
405,3512.5,0.2000,-0.02,-6.00
406,3563.8,0.2000,-0.03,-6.17
407,3615.9,0.2000,-0.03,-6.24
408,3668.8,0.2000,-0.03,-6.30
409,3722.4,0.2000,-0.02,-6.42
410,3776.8,0.2000,-0.03,-6.47
411,3832.0,0.2000,-0.03,-6.58
412,3888.0,0.2000,-0.03,-6.70
413,3944.8,0.2000,-0.02,-6.80
414,4002.4,0.2000,-0.02,-6.88
415,4060.9,0.2000,-0.02,-6.99
416,4120.3,0.2000,-0.03,-7.05
417,4180.5,0.2000,-0.02,-7.21
418,4241.6,0.2000,-0.02,-7.27
419,4303.6,0.2000,-0.03,-7.39
420,4366.5,0.2000,-0.02,-7.51
421,4430.3,0.2000,-0.02,-7.60
422,4495.0,0.2000,-0.05,-7.73
423,4560.7,0.2000,-0.05,-7.84
424,4627.4,0.2000,-0.02,-7.97
425,4695.0,0.2000,-0.05,-8.08
426,4763.6,0.2000,-0.03,-8.18
427,4833.2,0.2000,-0.03,-8.31
428,4903.9,0.2000,-0.02,-8.43
429,4975.5,0.2000,-0.03,-8.60
430,5048.3,0.2000,-0.04,-8.69
431,5122.0,0.2000,-0.03,-8.82
432,5196.9,0.2000,-0.02,-8.98
433,5272.8,0.2000,-0.03,-9.09
434,5349.9,0.2000,-0.02,-9.21
435,5428.1,0.2000,-0.03,-9.32
436,5507.4,0.2000,-0.03,-9.49
437,5587.9,0.2000,-0.05,-9.61
438,5669.6,0.2000,-0.03,-9.78
439,5752.4,0.2000,-0.05,-9.90
440,5836.5,0.2000,-0.03,-10.07
441,5921.8,0.2000,-0.03,-10.24
442,6008.3,0.2000,-0.03,-10.37
443,6096.1,0.2000,-0.03,-10.47
444,6185.2,0.2000,-0.04,-10.66
445,6275.6,0.2000,-0.04,-10.81
446,6367.3,0.2000,-0.04,-10.98
447,6460.4,0.2000,-0.04,-11.16
448,6554.8,0.2000,-0.04,-11.33
449,6650.6,0.2000,-0.04,-11.44
450,6747.8,0.2000,-0.04,-11.67
451,6846.4,0.2000,-0.04,-11.81
452,6946.5,0.2000,-0.04,-12.02
453,7048.0,0.2000,-0.04,-12.15
454,7151.0,0.2000,-0.04,-12.36
455,7255.5,0.2000,-0.04,-12.54
456,7361.5,0.2000,-0.04,-12.71
457,7469.1,0.2000,-0.04,-12.89
458,7578.3,0.2000,-0.04,-13.06
459,7689.0,0.2000,-0.04,-13.29
460,7801.4,0.2000,-0.05,-13.46
461,7915.4,0.2000,-0.06,-13.68
462,8031.1,0.2000,-0.05,-13.91
463,8148.5,0.2000,-0.06,-14.08
464,8267.6,0.2000,-0.06,-14.26
465,8388.4,0.2000,-0.05,-14.54
466,8511.0,0.2000,-0.06,-14.72
467,8635.4,0.2000,-0.06,-14.94
468,8761.6,0.2000,-0.06,-15.13
469,8889.6,0.2000,-0.06,-15.40
470,9019.5,0.2000,-0.07,-15.63
471,9151.3,0.2000,-0.08,-15.85
472,9285.1,0.2000,-0.08,-16.08
473,9420.8,0.2000,-0.08,-16.31
474,9558.4,0.2000,-0.08,-16.60
475,9698.1,0.2000,-0.08,-16.83
476,9839.9,0.2000,-0.08,-17.06
477,9983.7,0.2000,-0.08,-17.29
478,10129.6,0.2000,-0.08,-17.57
479,10277.6,0.2000,-0.08,-17.82
480,10427.8,0.2000,-0.09,-18.11
481,10580.2,0.2000,-0.08,-18.34
482,10734.8,0.2000,-0.09,-18.62
483,10891.7,0.2000,-0.09,-18.91
484,11050.9,0.2000,-0.09,-19.20
485,11212.4,0.2000,-0.09,-19.53
486,11376.3,0.2000,-0.09,-19.80
487,11542.5,0.2000,-0.11,-20.09
488,11711.2,0.2000,-0.10,-20.38
489,11882.4,0.2000,-0.12,-20.63
490,12056.0,0.2000,-0.10,-20.96
491,12232.2,0.2000,-0.12,-21.30
492,12411.0,0.2000,-0.13,-21.64
493,12592.3,0.2000,-0.14,-21.88
494,12776.4,0.2000,-0.14,-22.25
495,12963.1,0.2000,-0.13,-22.62
496,13152.5,0.2000,-0.14,-22.90
497,13344.8,0.2000,-0.15,-23.25
498,13539.8,0.2000,-0.16,-23.65
499,13737.7,0.2000,-0.16,-23.98
500,13938.4,0.2000,-0.16,-24.33
501,14142.1,0.2000,-0.16,-24.74
502,14348.8,0.2000,-0.16,-25.08
503,14558.5,0.2000,-0.18,-25.48
504,14771.3,0.2000,-0.18,-25.83
505,14987.2,0.2000,-0.19,-26.23
506,15206.2,0.2000,-0.19,-26.59
507,15428.4,0.2000,-0.21,-27.03
508,15653.9,0.2000,-0.21,-27.43
509,15882.7,0.2000,-0.21,-27.82
510,16114.8,0.2000,-0.23,-28.23
511,16350.3,0.2000,-0.23,-28.69
512,16589.2,0.2000,-0.24,-29.09
513,16831.7,0.2000,-0.24,-29.60
514,17077.7,0.2000,-0.26,-30.01
515,17327.2,0.2000,-0.25,-30.46
516,17580.5,0.2000,-0.26,-30.92
517,17837.4,0.2000,-0.27,-31.33
518,18098.1,0.2000,-0.29,-31.89
519,18362.6,0.2000,-0.29,-32.35
520,18630.9,0.2000,-0.31,-32.88
521,18903.2,0.2000,-0.31,-33.38
522,19179.5,0.2000,-0.33,-33.89
523,19459.8,0.2000,-0.34,-34.36
524,19744.2,0.2000,-0.36,-34.92
525,20032.7,0.2000,-0.36,-35.45
526,20325.5,0.2000,-0.37,-35.97
527,20622.5,0.2000,-0.38,-36.52
528,20923.9,0.2000,-0.40,-37.04
529,21229.7,0.2000,-0.42,-37.67
530,21540.0,0.2000,-0.42,-38.24
531,21854.8,0.2000,-0.44,-38.82
532,22174.1,0.2000,-0.45,-39.39
533,22498.2,0.2000,-0.48,-39.98
534,22827.0,0.2000,-0.50,-40.61
535,23160.6,0.2000,-0.51,-41.28
536,23499.1,0.2000,-0.52,-41.82
537,23842.5,0.2000,-0.55,-42.53
538,24191.0,0.2000,-0.55,-43.13
539,24544.5,0.2000,-0.58,-43.82
540,24903.2,0.2000,-0.61,-44.49
541,25267.1,0.2000,-0.63,-45.19
542,25636.4,0.2000,-0.65,-45.88
543,26011.1,0.2000,-0.69,-46.64
544,26391.2,0.2000,-0.71,-47.32
545,26776.9,0.2000,-0.73,-48.06
546,27168.2,0.2000,-0.75,-48.77
547,27565.3,0.2000,-0.78,-49.50
548,27968.1,0.2000,-0.82,-50.24
549,28376.9,0.2000,-0.85,-50.98
550,28791.6,0.2000,-0.88,-51.80
551,29212.4,0.2000,-0.91,-52.59
552,29639.3,0.2000,-0.96,-53.33
553,30072.4,0.2000,-0.99,-54.16
554,30511.9,0.2000,-1.03,-54.99
555,30957.8,0.2000,-1.06,-55.80
556,31410.3,0.2000,-1.12,-56.66
557,31869.3,0.2000,-1.16,-57.50
558,32335.1,0.2000,-1.21,-58.35
559,32807.6,0.2000,-1.26,-59.24
560,33287.1,0.2000,-1.29,-60.11
561,33773.6,0.2000,-1.36,-61.08
562,34267.1,0.2000,-1.43,-61.90
563,34767.9,0.2000,-1.46,-62.88
564,35276.0,0.2000,-1.51,-63.74
565,35791.6,0.2000,-1.56,-64.71
566,36314.7,0.2000,-1.63,-65.62
567,36845.4,0.2000,-1.70,-66.60
568,37383.8,0.2000,-1.77,-67.51
569,37930.2,0.2000,-1.82,-68.53
570,38484.5,0.2000,-1.91,-69.52
571,39046.9,0.2000,-1.98,-70.50
572,39617.6,0.2000,-2.06,-71.47
573,40196.6,0.2000,-2.12,-72.50
574,40784.0,0.2000,-2.20,-73.47
575,41380.1,0.2000,-2.29,-74.51
576,41984.8,0.2000,-2.37,-75.54
577,42598.4,0.2000,-2.48,-76.57
578,43220.9,0.2000,-2.56,-77.59
579,43852.6,0.2000,-2.66,-78.63
580,44493.5,0.2000,-2.74,-79.70
581,45143.7,0.2000,-2.85,-80.75
582,45803.5,0.2000,-2.96,-81.83
583,46472.9,0.2000,-3.05,-82.87
584,47152.0,0.2000,-3.16,-83.91
585,47841.1,0.2000,-3.28,-84.98
586,48540.3,0.2000,-3.39,-85.98
587,49249.7,0.2000,-3.52,-87.11
588,49969.5,0.2000,-3.64,-88.22
589,50699.7,0.2000,-3.76,-89.24
590,51440.7,0.2000,-3.88,-90.33
591,52192.5,0.2000,-4.01,-91.42
592,52955.2,0.2000,-4.14,-92.55
593,53729.1,0.2000,-4.28,-93.55
594,54514.3,0.2000,-4.42,-94.69
595,55311.0,0.2000,-4.57,-95.66
596,56119.4,0.2000,-4.71,-96.75
597,56939.5,0.2000,-4.86,-97.90
598,57771.7,0.2000,-5.01,-98.92
599,58616.0,0.2000,-5.18,-99.94
600,59472.6,0.2000,-5.32,-100.99
601,60341.8,0.2000,-5.48,-102.06
602,61223.6,0.2000,-5.65,-103.12
603,62118.4,0.2000,-5.81,-104.14
604,63026.2,0.2000,-5.99,-105.19
605,63947.3,0.2000,-6.16,-106.15
606,64881.8,0.2000,-6.33,-107.22
607,65830.0,0.2000,-6.51,-108.22
608,66792.1,0.2000,-6.70,-109.20
609,67768.2,0.2000,-6.87,-110.21
610,68758.6,0.2000,-7.07,-111.19
611,69763.5,0.2000,-7.24,-112.16
612,70783.1,0.2000,-7.44,-113.10
613,71817.5,0.2000,-7.62,-114.07
614,72867.1,0.2000,-7.86,-115.08
615,73932.0,0.2000,-8.05,-116.04
616,75012.5,0.2000,-8.25,-116.99
617,76108.7,0.2000,-8.45,-117.90
618,77221.0,0.2000,-8.66,-118.77
619,78349.6,0.2000,-8.87,-119.74
620,79494.6,0.2000,-9.08,-120.63
621,80656.4,0.2000,-9.29,-121.52
622,81835.1,0.2000,-9.49,-122.31
623,83031.1,0.2000,-9.71,-123.22
624,84244.5,0.2000,-9.91,-124.08
625,85475.7,0.2000,-10.13,-124.84
626,86724.9,0.2000,-10.36,-125.70
627,87992.3,0.2000,-10.57,-126.51
628,89278.3,0.2000,-10.80,-127.37
629,90583.0,0.2000,-11.03,-128.16
630,91906.8,0.2000,-11.24,-128.95
631,93250.0,0.2000,-11.46,-129.75
632,94612.8,0.2000,-11.65,-130.40
633,95995.5,0.2000,-11.89,-131.19
634,97398.4,0.2000,-12.12,-131.99
635,98821.9,0.2000,-12.34,-132.69
636,100266.1,0.2000,-12.58,-133.40
637,101731.4,0.2000,-12.81,-134.16
638,103218.2,0.2000,-13.02,-134.86
639,104726.6,0.2000,-13.28,-135.55
640,106257.2,0.2000,-13.51,-136.25
641,107810.0,0.2000,-13.76,-136.93
642,109385.6,0.2000,-13.98,-137.58
643,110984.2,0.2000,-14.23,-138.24
644,112606.2,0.2000,-14.46,-138.99
645,114251.9,0.2000,-14.70,-139.62
646,115921.6,0.2000,-14.96,-140.20
647,117615.7,0.2000,-15.20,-140.84
648,119334.6,0.2000,-15.43,-141.51
649,121078.6,0.2000,-15.73,-142.27
650,122848.1,0.2000,-15.97,-142.90
651,124643.5,0.2000,-16.22,-143.48
652,126465.1,0.2000,-16.46,-144.09
653,128313.3,0.2000,-16.73,-144.73
654,130188.5,0.2000,-16.97,-145.29
655,132091.1,0.2000,-17.22,-145.94
656,134021.6,0.2000,-17.48,-146.56
